"Name","State","decoder.configs.num_retrieval_heads","Notes","User","Tags","Created","Runtime","Sweep","EM","MC1","MC2","MC3","Subspan_EM","all_acc","hate_speech_ending_acc","history_of_science_qa_acc","macro_avg_acc","micro_avg_acc","proverb_ending_acc","proverb_translation_acc","data.data_dir","data.name","data_loader.batch_size","data_loader.drop_last","data_loader.num_workers","data_loader.pin_memory","debug","decoder.configs.retrieval_heads_dir","decoder.method","decoder.name","model.configs.max_new_tokens","model.configs.max_seq_len","model.configs.model_name_or_path","model.model_type","model.name","random_seed","wandb_entity","wandb_project","org_EM","org_Subspan_EM","sub_EM","sub_Subspan_EM"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","100","-","","","2024-07-12T12:59:21.000Z","3346","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0.010956595027391488","0","0.01032448377581121"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","90","-","","","2024-07-12T11:31:05.000Z","5271","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0.00969237252423093","0","0.04045512010113781"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","80","-","","","2024-07-12T09:46:24.000Z","6086","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0.03034134007585335","0.0006321112515802782","0.11546565528866412"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","70","-","","","2024-07-12T12:16:05.000Z","6051","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0.015170670037926676","0.0008428150021070375","0.09671302149178256"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","60","-","","","2024-07-12T09:46:14.000Z","8973","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0.0029498525073746312","0","0.012010113780025283"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","50","-","","","2024-07-12T09:46:00.000Z","7940","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0.004003371260008428","0","0.0067425200168563"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","40","-","","","2024-07-12T09:45:56.000Z","11424","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0.0002107037505267594","0","0"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","30","-","","","2024-07-12T09:45:50.000Z","11338","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0","0","0"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","20","-","","","2024-07-12T09:45:44.000Z","11462","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0","0","0"
"LLaMA3-8b-Instruct__BaselineMaskedRetrievalHead","finished","10","-","","","2024-07-12T11:25:24.000Z","5618","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0","0.0035819637589549094","0.0004214075010535188","0.02928782132321955"
